chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
10 98804 2.0606942215088284 0.020541
10 108773 0.0 0.020541
10 118741 5.412118780096308 0.074489
10 128709 0.14897672552166938 0.075974
10 138678 0.39301835690641035 0.079892
10 148646 0.0 0.079892
10 158614 0.007223113964685869 0.079964
10 168582 0.42897271268057807 0.08424
10 178551 0.05567258501354197 0.084795
10 188519 0.8921548956661315 0.093688
10 198487 0.0018057784911721633 0.093706
10 208456 0.42180760357107033 0.097911
10 218424 2.940208667736758 0.127219
10 228392 0.02156902086677297 0.127434
10 238361 0.7951650115357626 0.135361
10 248329 1.3444020866773674 0.148762
10 258297 0.0 0.148762
10 268266 0.19390109338950648 0.150695
10 278234 1.7070626003210276 0.167711
10 288202 0.3877407704654903 0.171576
10 298171 0.14896178152271905 0.173061
10 308139 0.18850321027287517 0.17494
10 318107 1.1291131621187789 0.186195
10 328075 1.445024077046549 0.200599
10 338044 0.0 0.200599
10 348012 1.967295345104333 0.220209
10 357980 0.021569020866775757 0.220424
10 367949 0.2423512889958874 0.22284
10 377917 1.5957062600321033 0.238746
10 387885 2.6512841091492785 0.265174
10 397854 1.1721336142040326 0.276859
10 407822 0.0 0.276859
10 417790 0.1615168539325843 0.278469
10 427759 17.717123081552813 0.455091
10 437727 0.0 0.455091
10 447695 0.0 0.455091
10 457663 0.717997592295342 0.462248
10 467632 0.0 0.462248
10 477600 3.3172150882825027 0.495314
10 487568 0.0 0.495314
10 497537 0.005416792055371501 0.495368
10 507505 0.025080256821832663 0.495618
10 517473 0.47572231139647114 0.50036
10 527442 0.21536763968301834 0.502507
10 537410 0.0 0.502507
10 547378 0.8903491171749566 0.511382
10 557347 0.35540174541076963 0.514925
10 567315 0.1328250401284101 0.516249
10 577283 3.1072431781701475 0.547222
10 587251 0.7807985553772055 0.555005
10 597220 3.7590530644999505 0.592479
10 607188 0.45445425361156044 0.597009
10 617156 0.0 0.597009
10 627125 10.653826863276153 0.703217
10 637093 1.487058587479939 0.71804
10 647061 2.444522471910115 0.742407
10 657030 0.5797973718527443 0.748187
10 666998 0.14666934189405734 0.749649
10 676966 1.0684189406099456 0.760299
10 686935 0.009328919650918822 0.760392
10 696903 1.8571428571428656 0.778904
10 706871 16.601324237560185 0.944386
10 716840 0.6650616912428553 0.951016
10 726808 2.1170746388443002 0.972119
10 736776 0.38713884430177137 0.975978
10 746744 0.052066613162112384 0.976497
10 756713 0.503861972113552 0.98152
10 766681 14.251404494382024 1.123578
10 776649 1.911617174959876 1.142633
10 786618 11.867087972715423 1.260936
10 796586 7.806079454253597 1.338747
10 806554 0.0 1.338747
10 816523 0.5721737385896432 1.344451
10 826491 0.0025080256821771404 1.344476
10 836459 1.8084871589085088 1.362503
10 846428 0.0 1.362503
10 856396 0.0017054574638777824 1.36252
10 866364 0.0017054574639000582 1.362537
10 876332 0.0 1.362537
10 886301 0.14835991573876878 1.364016
10 896269 0.0017054574639000582 1.364033
10 906237 0.35473515248795984 1.367569
10 916206 0.0025077740997032534 1.367594
10 926174 2.3764044943820157 1.391282
10 936142 0.011035313001610604 1.391392
10 946111 0.0 1.391392
10 956079 0.7085674157303413 1.398455
10 966047 0.08356741573034548 1.399288
10 976016 0.3692446584411499 1.402969
10 985984 0.0 1.402969
10 995952 0.040930979133244984 1.403377
10 1005921 0.1679205537165165 1.405051
10 1015889 0.737560192616375 1.412403
10 1025857 0.13382825040127874 1.413737
10 1035825 0.5039125200642055 1.41876
10 1045794 0.03159795365634118 1.419075
10 1055762 2.1649277688603465 1.440655
10 1065730 0.0 1.440655
10 1075699 0.34868091082355646 1.444131
10 1085667 0.3410914927768708 1.447531
10 1095635 0.8085874799358125 1.455591
10 1105604 0.8667870398234425 1.464232
10 1115572 0.4187399678972835 1.468406
10 1125540 0.8974719101123494 1.477352
10 1135509 7.598053967298621 1.553097
10 1145477 0.4960874799357923 1.558042
10 1155445 0.014947833065828328 1.558191
10 1165413 0.15660112359549797 1.559752
10 1175382 3.227705888253576 1.591929
10 1185350 0.448735955056197 1.596402
10 1195318 3.6989365971107424 1.633273
10 1205287 1.4155883238038043 1.647385
10 1215255 1.9532504012840968 1.666855
10 1225223 0.28320626003210475 1.669678
10 1235192 0.31848731066304825 1.672853
10 1245160 8.329454253611567 1.755881
10 1255128 0.07804975922952903 1.756659
10 1265097 0.003009328919648359 1.756689
10 1275065 1.6940208667736716 1.773575
10 1285033 0.003611556982358249 1.773611
10 1295001 18.105939004815408 1.954091
10 1304970 2.233222991272938 1.976354
10 1314938 2.8668739967897348 2.004931
10 1324906 0.28852327447834075 2.007807
10 1334875 1.2086468050957724 2.019856
10 1344843 3.1428571428571677 2.051184
10 1354811 0.18358747993579438 2.053014
10 1364780 4.137024776808105 2.094256
10 1374748 0.13503210272871663 2.095602
10 1384716 0.4697030497592148 2.100284
10 1394685 0.5848129200521619 2.106114
10 1404653 0.5129414125200789 2.111227
10 1414621 2.286717495987179 2.134021
10 1424590 0.6196208245560894 2.140198
10 1434558 0.1841894060995579 2.142034
10 1444526 0.21057383627606854 2.144133
10 1454494 0.8512239165328906 2.152618
10 1464463 6.20473467750025 2.214473
10 1474431 3.9328852327447934 2.253676
10 1484399 22.66573033707863 2.479608
10 1494368 1.1078342862874966 2.490652
10 1504336 0.19141252006422982 2.49256
10 1514304 0.23455056179774794 2.494898
10 1524273 0.578894573176823 2.500669
10 1534241 1.8403892455858806 2.519014
10 1544209 0.6581059390048499 2.525574
10 1554178 1.7670779416190043 2.54319
10 1564146 4.124899678972698 2.584307
10 1574114 11.058988764044944 2.694543
10 1584082 3.5958065810594193 2.730386
10 1594051 1.2704383589125994 2.743051
10 1604019 2.794442215088301 2.770906
10 1613987 2.4142255216693203 2.794971
10 1623956 0.0773397532350586 2.795742
10 1633924 4.424658908507185 2.839847
10 1643892 0.25471508828251094 2.842386
10 1653861 0.22008225499049566 2.84458
10 1663829 0.41091492776887034 2.848676
10 1673797 0.8600521669341613 2.857249
10 1683766 2.3324305346574654 2.880501
10 1693734 10.916131621187793 2.989313
10 1703702 5.315509630818626 3.042298
10 1713671 3.143544989467335 3.073636
10 1723639 6.847211075441402 3.141889
10 1733607 2.438703852327462 3.166198
10 1743575 0.7721709470304818 3.173895
10 1753544 0.053967298625754785 3.174433
10 1763512 1.5419341894060878 3.189803
10 1773480 0.09861556982345288 3.190786
10 1783449 2.4850035108837107 3.215559
10 1793417 0.3249398073836491 3.218798
10 1803385 0.6073434991974099 3.224852
10 1813354 4.2274049553616475 3.266995
10 1823322 4.304474317817018 3.309902
10 1833290 7.747491974317788 3.387129
10 1843259 4.165212157688855 3.428652
10 1853227 0.04133226324236125 3.429064
10 1863195 2.2478932584269953 3.451471
10 1873163 1.3896468699839462 3.465323
10 1883132 0.19360016049751883 3.467253
10 1893100 0.43148073836274964 3.471554
10 1903068 2.880718298555382 3.500269
10 1913037 0.43896077841309633 3.504645
10 1923005 0.7291332263242206 3.511913
10 1932973 0.5118378812198977 3.517015
10 1942942 3.2885946433945596 3.549799
10 1952910 1.5699237560192418 3.565448
10 1962878 0.08998796147674035 3.566345
10 1972847 1.5460928879526652 3.581758
10 1982815 0.12299357945424853 3.582984
10 1992783 0.34590690208664465 3.586432
10 2002751 0.09028892455859981 3.587332
10 2012720 0.024074631357231417 3.587572
10 2022688 1.2923354735152326 3.600454
10 2032656 0.6037319422150962 3.606472
10 2042625 2.1548801283980117 3.627954
10 2052593 4.695626003210286 3.67476
10 2062561 11.083768057784901 3.785243
10 2072530 10.65643494833987 3.891477
10 2082498 1.3779093097913375 3.905212
10 2092466 0.812700642054566 3.913313
10 2102435 1.916240345069703 3.932416
10 2112403 0.31209871589085936 3.935527
10 2122371 1.180577849117175 3.947295
10 2132340 0.9989968903600992 3.957254
10 2142308 0.8181179775281257 3.965409
10 2152276 0.7785914927768768 3.97317
10 2162244 1.375902889245578 3.986885
10 2172213 3.8994884140836445 4.025759
10 2182181 3.146970304975899 4.057128
10 2192149 0.09620786516862162 4.058087
10 2202118 0.07081954057570541 4.058793
10 2212086 0.08146067415737371 4.059605
10 2222054 0.19432182985552324 4.061542
10 2232023 1.555120874711588 4.077045
10 2241991 0.2361556982343912 4.079399
10 2251959 0.5630016051363648 4.085011
10 2261928 0.7385896278463913 4.092374
10 2271896 0.33717897271267533 4.095735
10 2281864 0.44753210272873684 4.100196
10 2291832 0.7311396468699801 4.107484
10 2301801 0.46524225097802385 4.112122
10 2311769 3.010032102728724 4.142126
10 2321737 1.4091091492776444 4.156172
10 2331706 0.5039622830775989 4.161196
10 2341674 0.8064807383626847 4.169235
10 2351642 0.562700642054639 4.174844
10 2361611 0.28177349784332045 4.177653
10 2371579 0.22953451043339365 4.179941
10 2381547 0.1438603531299873 4.181375
10 2391516 0.07774099709097905 4.18215
10 2401484 0.6121589085072506 4.188252
10 2411452 0.13453049759229901 4.189593
10 2421421 0.07553415588319386 4.190346
10 2431389 0.48745987158905746 4.195205
10 2441357 0.07213081861959633 4.195924
10 2451325 0.02267255216698471 4.19615
10 2461294 0.0816531246865375 4.196964
10 2471262 0.3372792937398876 4.200326
10 2481230 0.42375601926170464 4.20455
10 2491199 1.7069916741899949 4.221567
10 2501167 3.720104333868363 4.258649
10 2511135 0.6849919743177781 4.265477
10 2521104 1.8360918848430676 4.283781
10 2531072 0.6775682182985481 4.290535
10 2541040 0.2614365971107653 4.293141
10 2551009 0.7240445380680055 4.300359
10 2560977 0.015048154093062843 4.300509
10 2570945 1.140549759229553 4.311878
10 2580913 0.5286918138042065 4.317148
10 2590882 0.4237135118868275 4.321372
10 2600850 10.002407704654898 4.421076
10 2610818 0.09801364365968937 4.422053
10 2620787 2.2756545290400445 4.444739
10 2630755 0.647070626003217 4.451189
10 2640723 0.4000802568217956 4.455177
10 2650692 0.07031798575587167 4.455878
