chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
21 8558477 0.0 0.0
21 8568381 0.0 0.0
21 8578284 0.0 0.0
21 8588187 0.0 0.0
21 8598091 0.0 0.0
21 8607994 0.0 0.0
21 8617897 0.08916489952539634 0.000883
21 8627801 0.06027867528271406 0.00148
21 8637704 0.2595173179844491 0.00405
21 8647607 0.0057558315661921265 0.004107
21 8657510 0.03705947692618391 0.004474
21 8667414 0.0 0.004474
21 8677317 0.0 0.004474
21 8687220 0.0 0.004474
21 8697124 0.0 0.004474
21 8707027 0.0 0.004474
21 8716930 0.0 0.004474
21 8726834 0.0 0.004474
21 8736737 0.0 0.004474
21 8746640 0.0 0.004474
21 8756544 0.0 0.004474
21 8766447 0.0 0.004474
21 8776350 0.0 0.004474
21 8786254 0.0 0.004474
21 8796157 0.0 0.004474
21 8806060 0.0 0.004474
21 8815964 0.0 0.004474
21 8825867 0.0 0.004474
21 8835770 0.0 0.004474
21 8845673 0.0 0.004474
21 8855577 0.0 0.004474
21 8865480 0.0 0.004474
21 8875383 0.0 0.004474
21 8885287 0.0 0.004474
21 8895190 0.0 0.004474
21 8905093 0.0 0.004474
21 8914997 0.0 0.004474
21 8924900 0.0 0.004474
21 8934803 0.0 0.004474
21 8944707 0.0 0.004474
21 8954610 0.0 0.004474
21 8964513 0.0 0.004474
21 8974417 0.0 0.004474
21 8984320 0.0 0.004474
21 8994223 0.0 0.004474
21 9004127 0.0 0.004474
21 9014030 0.0 0.004474
21 9023933 0.0 0.004474
21 9033836 0.0 0.004474
21 9043740 0.0 0.004474
21 9053643 0.0 0.004474
21 9063546 0.0 0.004474
21 9073450 0.0 0.004474
21 9083353 0.0 0.004474
21 9093256 0.0 0.004474
21 9103160 0.0 0.004474
21 9113063 0.0 0.004474
21 9122966 0.0 0.004474
21 9132870 0.0 0.004474
21 9142773 0.0 0.004474
21 9152676 0.0 0.004474
21 9162580 0.0 0.004474
21 9172483 0.0 0.004474
21 9182386 0.014440068666060778 0.004617
21 9192289 0.0 0.004617
21 9202193 0.0 0.004617
21 9212096 0.0 0.004617
21 9221999 0.0 0.004617
